Threshold,Precision,Recall,F1,Accuracy,AUC
0.0,0.585,1.0,0.7381703470031545,0.585,0.9120996807743796
0.05555555555555555,0.6157894736842106,1.0,0.7622149837133552,0.635,0.9120996807743796
0.1111111111111111,0.7141089108910891,0.9863247863247864,0.8284278535534816,0.761,0.9120996807743796
0.16666666666666666,0.7662162162162162,0.9692307692307692,0.8558490566037735,0.809,0.9120996807743796
0.2222222222222222,0.8026315789473685,0.9384615384615385,0.8652482269503547,0.829,0.9120996807743796
0.2777777777777778,0.8251533742331288,0.9196581196581196,0.8698464025869038,0.839,0.9120996807743796
0.3333333333333333,0.8423566878980892,0.9042735042735043,0.8722176422093981,0.845,0.9120996807743796
0.38888888888888884,0.8519134775374376,0.8752136752136752,0.863406408094435,0.838,0.9120996807743796
0.4444444444444444,0.8615384615384616,0.8615384615384616,0.8615384615384615,0.838,0.9120996807743796
0.5,0.8810810810810811,0.8358974358974359,0.8578947368421053,0.838,0.9120996807743796
0.5555555555555556,0.8994307400379506,0.8102564102564103,0.8525179856115108,0.836,0.9120996807743796
0.611111111111111,0.9094650205761317,0.7555555555555555,0.8253968253968255,0.813,0.9120996807743796
0.6666666666666666,0.9292237442922374,0.6957264957264957,0.7956989247311829,0.791,0.9120996807743796
0.7222222222222222,0.9302325581395349,0.6153846153846154,0.7407407407407407,0.748,0.9120996807743796
0.7777777777777777,0.9428571428571428,0.5076923076923077,0.6599999999999999,0.694,0.9120996807743796
0.8333333333333333,0.9470588235294117,0.27521367521367524,0.4264900662251655,0.567,0.9120996807743796
0.8888888888888888,1.0,0.02564102564102564,0.05,0.43,0.9120996807743796
0.9444444444444444,0.0,0.0,0.0,0.415,0.9120996807743796
1.0,0.0,0.0,0.0,0.415,0.9120996807743796
